Grupa ¿ywnoœci;Engelse naam/Food name;Nazwa angielska/Nazwa ¿ywnoœci;Iloœæ;jednostka;kalorycznoœæ (kcal);bia³ko (g);t³uszcz (g);wêglowodany (g)
Jajka;Egg whole chicken av boiled;Jajko ca³e z kurczaka gotowane;100;g;128;12,3;8,8;0
Jajka;Egg yolk chicken raw;¯ó³tko surowego kurczaka;100;g;361;16,7;32,6;0,2
Jajka;Egg yolk chicken boiled;¯ó³tko kurczaka gotowane;100;g;361;16;33;0
Jajka;Egg powder chicken;Kurczak w proszku jajecznym;100;g;574;46;42;3
Miêso i drób;Horse meat raw;Miêso koñskie surowe;100;g;99;22,4;1;0
Miêso i drób;Mutton >10g fat raw av;Baranina >10g t³uszczu surowego;100;g;293;17;25;0
Miêso i drób;Brains calf's raw;Mózg cielêcy surowy;100;g;108;9;8;0
Miêso i drób;Duck w skin raw;Kaczka ze skór¹ surowa;100;g;388;13,1;37,3;0
Miêso i drób;Hare whole raw;Zaj¹c ca³y surowy;100;g;115;22;3;0
Miêso i drób;Chicken w skin raw;Kurczak ze skór¹ surowy;100;g;218;18,3;16;0
Miêso i drób;Rabbit domesticated raw;Królik udomowiony na surowo;100;g;174;21;10;0
Miêso i drób;Rabbit wild raw;Królik dziki surowy;100;g;125;20;5;0
Ryby, skorupiaki i miêczaki;Mussels boiled;Ma³¿e gotowane;100;g;125;17,2;3,1;7,2
Ryby, skorupiaki i miêczaki;Eel raw;Surowy wêgorz;100;g;372;14;35,1;0
Ryby, skorupiaki i miêczaki;Herring raw;ŒledŸ surowy;100;g;199;16;15;0
Ryby, skorupiaki i miêczaki;Fish lean 0-5 g fat raw av;Ryba chuda 0-5 g t³uszczu surowa av;100;g;92;19,7;1,5;0
Ryby, skorupiaki i miêczaki;Fish fat >5 g fat raw av;T³uszcz rybi >5 g t³uszczu surowego;100;g;242;17,2;19,1;0,3
Roœliny str¹czkowe;Beans white/ brown dried;Fasola bia³a/br¹zowa suszona;100;g;314;20,1;2,4;44,2
Roœliny str¹czkowe;Peas green dried;Groszek zielony suszony;100;g;315;21;2;43
Roœliny str¹czkowe;Peas marrowfat dried;Groch szpikowy suszony;100;g;305;20;1,5;43
Roœliny str¹czkowe;Lentils green and brown dried;Soczewica zielona i br¹zowa suszona;100;g;306;21;1,5;43
Ziemniaki i bulwy;Potatoes mashed fresh prep w semi-skimmed milk and margarin;Ziemniaki puree œwie¿o przygotowane z pó³t³ustym mlekiem i margaryn¹;100;g;83;2,2;1,8;13,9
S³one przek¹ski;Crisps potato av;Chipsy ziemniaczane av;100;g;538;6,3;32,8;52,3
Warzywa;Radish raw;Rzodkiewka surowa;100;g;22;1;0;4
Warzywa;Radish black raw;Rzodkiewka czarna surowa;100;g;30;2;0;5
Warzywa;Cress garden raw;Rze¿ucha ogrodowa surowa;100;g;15;2;0;0
Warzywa;Vegetables mixture raw av;Mieszanka warzywna surowa av;100;g;20;0,9;0,4;2,5
Zio³a i przyprawy;Parsley fresh;Pietruszka œwie¿a;100;g;37;4;0,8;1
Warzywa;Asparagus white tinned;Szparagi bia³e konserwowe;100;g;17;1,4;0,3;1,9
Warzywa;Gherkins sour pickled;Ogórki kiszone kwaœne;100;g;10;1;0;1
Warzywa;Gherkins sweet pickled;Ogórki konserwowe s³odkie;100;g;27;0,8;0;5,3
Warzywa;Mushroom tinned;Grzyby konserwowe;100;g;19;2,2;0,4;0,5
Warzywa;Peas medium fine tinned;Groszek œrednio drobny konserwowy;100;g;94;5;1;14
Warzywa;Peas super fine tinned;Groszek bardzo drobny konserwowy;100;g;78;5,6;0,8;9,9
Warzywa;Peas and carrots tinned;Groszek i marchewka konserwowa;100;g;56;3,4;0,5;7
Owoce;Olives green in brine tinned/glass;Oliwki zielone w solance w puszce/szklance;100;g;113;0,9;11;0,5
Warzywa;Beans runner tinned;Fasola szparagowa w puszce;100;g;20;1,1;0,3;2,3
Warzywa;Beans French tinned;Fasola francuska w puszce;100;g;26;1,6;0,3;2,9
Warzywa;Spinach tinned;Szpinak w puszce;100;g;31;3,2;0,9;1,3
Warzywa;Tomato puree concentrated tinned;Koncentrat przecieru pomidorowego w puszce;100;g;87;4,5;0;15,5
Warzywa;Beans broad tinned;Fasola szeroka konserwowa;100;g;73;5,8;0,6;8,5
Warzywa;Carrot tinned;Marchewka konserwowa;100;g;29;0,7;0,2;5,3
Warzywa;Silver-skin onion sweet pickled glass;Cebula ze srebrn¹ skórk¹, s³odka, marynowana w szkle;100;g;34;0,6;0,1;6,9
Warzywa;Cabbage red glass;Szk³o kapustne czerwone;100;g;40;0,8;0,2;7,9
Warzywa;Spinach frozen boiled;Szpinak mro¿ony gotowany;100;g;24;2,3;0,4;1,7
Owoce;Apple wo skin av;Apple bez skóry av;100;g;55;0,2;0,1;12
Owoce;Strawberries;Truskawki;100;g;29;0,7;0;5,1
Owoce;Apricots w skin;Morele ze skórk¹;100;g;44;0,9;0,1;8
Owoce;Pineapple;Ananas;100;g;54;0,5;0,1;12
Owoce;Banana;Banan;100;g;92;1,1;0,3;20
Owoce;Blueberries;Borówki;100;g;52;0,7;0;11
Owoce;Redcurrants;Porzeczka czerwona;100;g;36;1,1;0;4,4
Owoce;Blackcurrants;Porzeczka czarna;100;g;53;0,9;0;8
Owoce;Bilberries;Borówki;100;g;30;0,6;0;6
Owoce;Cowberries;Borówki brusznice;100;g;57;0,8;1,2;8,8
Owoce;Blackberries;Je¿yny;100;g;37;0,9;0,2;5,1
Owoce;Lemon;Cytrynowy;100;g;36;0,8;0,3;3
Owoce;Cranberries fresh;¯urawina œwie¿a;100;g;24;0,4;0,1;3,4
Owoce;Grapes w skin av;Winogrona ze skórk¹;100;g;78;0,6;0,2;16,8
Owoce;Raspberries;Maliny;100;g;37;1,4;0,3;4,5
Owoce;Grapefruit;Grejpfrut;100;g;37;0,9;0;6,6
Owoce;Cherries sweet;Wiœnie s³odkie;100;g;57;0,9;0,4;11,5
Owoce;Gooseberries;Agrest;100;g;49;0,9;0;9
Owoce;Manderins;Mandarynki;100;g;46;0,7;0,1;9,9
Owoce;Melon netted;Siatka na melona;100;g;27;0,5;0;6
Owoce;Cherries sour;Wiœnie kwaœne;100;g;52;1;0;11
Owoce;Pear wo skin;Gruszka bez skórki;100;g;53;0,3;0,2;11,7
Owoce;Peach wo skin;Brzoskwinia bez skórki;100;g;41;1;0;7,9
Owoce;Plums w skin;Œliwki ze skórk¹;100;g;40;0,8;0;7,3
Owoce;Orange;Pomarañczowy;100;g;48;0,8;1;7,9
Owoce;Fruit fresh citrus av;Owoce œwie¿e cytrusy av;100;g;48;0,8;0,5;8,9
Owoce;Fruit fresh av excl citrus;Owoce œwie¿e, bez cytrusów;100;g;63;0,7;0,2;13,5
Owoce;Strawberries in syrup tinned;Truskawki w syropie w puszce;100;g;71;0,5;0;16,9
Owoce;Apricots dried;Morele suszone;100;g;285;5;0;59
Owoce;Apricots in syrup tinned;Morele w syropie w puszce;100;g;69;0,4;0,1;16,1
Owoce;Pineapple in syrup tinned;Ananas w syropie w puszce;100;g;69;0,3;0,1;16,1
Owoce;Apples dried;Suszone jab³ka;100;g;292;2;0,5;65
Owoce;Apple sauce tinned;Mus jab³kowy w puszce;100;g;76;0,2;0,1;17,6
Owoce;Bilberries in syrup tinned;Borówki w syropie w puszce;100;g;66;0,3;0,3;15,1
Owoce;Dates dried;Daktyle suszone;100;g;305;2;0;70,5
Owoce;Raspberries in syrup tinned;Maliny w syropie w puszce;100;g;71;0,5;0,3;15,7
Owoce;Fruit cocktail in syrup tinned;Koktajl owocowy w syropie w puszce;100;g;75;0,4;0;17,3
Owoce;Cherries in syrup tinned;Wiœnie w syropie w puszce;100;g;63;0,6;0,3;14,2
Owoce;Currants dried;Porzeczki suszone;100;g;326;2;0;75
Owoce;Tangerines in syrup tinned;Mandarynki w syropie w puszce;100;g;59;0,5;0;14
Owoce;Pear dried;Gruszka suszona;100;g;287;2;0;65
Owoce;Pears in syrup tinned;Gruszki w syropie w puszce;100;g;64;0,3;0;14,7
Owoce;Peaches in syrup tinned;Brzoskwinie w syropie w puszce;100;g;62;0,4;0;14,6
Owoce;Prunes;Œliwki;100;g;199;1,6;0,4;47,9
Owoce;Plums in syrup tinned;Œliwki w syropie w puszce;100;g;65;0,3;0;15,5
Owoce;Fruit mixed dried;Mieszane suszone owoce;100;g;256;2,7;0,3;56,1
Owoce;Figs dried;Suszone figi;100;g;259;3,3;0,9;54,1
Owoce;Fruit in syrup tinned;Owoce w syropie w puszkach;100;g;65;0,3;0,1;15
Owoce;Infant food fruit 8 months;¯ywnoœæ dla niemowl¹t owoce 8 miesiêcy;100;g;74;0,6;0,1;17,1
Roœliny str¹czkowe;Peas marrowfat canned;Groch konserwowy z t³uszczem szpikowym;100;g;108;7,1;0,8;14,8
Roœliny str¹czkowe;Beans white baked in tomato sauce canned;Fasola bia³a pieczona w sosie pomidorowym w puszce;100;g;101;5,7;0,6;15,2
Orzechy i nasiona;Almonds blanched unsalted;Migda³y blanszowane niesolone;100;g;631;21,7;55,8;7,1
Orzechy i nasiona;Cashew nuts unsalted;Orzechy nerkowca niesolone;100;g;615;21,2;48,9;20,8
Orzechy i nasiona;Hazelnuts unsalted;Orzechy laskowe niesolone;100;g;670;16,4;63;4,8
Orzechy i nasiona;Chestnuts raw;Kasztany surowe;100;g;189;4;2,7;35
Owoce;Coconut meat;Mi¹¿sz kokosa;100;g;406;4;40;3
Orzechy i nasiona;Brazil nuts unsalted;Orzechy brazylijskie niesolone;100;g;687;14,3;67,1;2,6
Orzechy i nasiona;Peanuts unsalted;Orzeszki ziemne niesolone;100;g;627;25,2;51,7;11,8
Orzechy i nasiona;Mixed nuts and raisins;Mieszane orzechy i rodzynki;100;g;496;11;32,1;38
Orzechy i nasiona;Walnuts unsalted;Orzechy w³oskie niesolone;100;g;706;15,9;68,1;5,1
Orzechy i nasiona;Nuts mixed unsalted;Orzechy mieszane niesolone;100;g;658;18,1;59,6;8,9
Zbo¿a i produkty zbo¿owe;Flour buckwheat;M¹ka gryczana;100;g;353;9;2;72
Zbo¿a i produkty zbo¿owe;Breakfast cereal Cornflakes Kellogg's;P³atki œniadaniowe P³atki kukurydziane Kellogg's;100;g;378;7;0,9;84
Zbo¿a i produkty zbo¿owe;Custard powder;Proszek budyniowy;100;g;350;0,3;0,1;87
Zbo¿a i produkty zbo¿owe;Barley malt;S³ód jêczmienny;100;g;332;10;2;65
Zbo¿a i produkty zbo¿owe;Barley pearl raw;Surowa per³a jêczmienna;100;g;339;9;2;67
Zbo¿a i produkty zbo¿owe;Oatmeal;Owsianka;100;g;373;12,8;7,3;60,7
Zbo¿a i produkty zbo¿owe;Popcorn kernels;Ziarna popcornu;100;g;374;11;4;71
Zbo¿a i produkty zbo¿owe;Cornstarch;Skrobia kukurydziana;100;g;353;0;0,1;88
Zbo¿a i produkty zbo¿owe;Blancmange instant powder;Proszek instant Blancmange;100;g;341;0;0;85
Zbo¿a i produkty zbo¿owe;Flour rye 60% extraction;M¹ka ¿ytnia 60% ekstrakcji;100;g;343;8;1;73
Zbo¿a i produkty zbo¿owe;Flour rye;M¹ka ¿ytnia;100;g;328;10;2;60,2
Zbo¿a i produkty zbo¿owe;Tapioca;Tapioka;100;g;322;0;0;80
Zbo¿a i produkty zbo¿owe;Flour wheat white;M¹ka pszenna bia³a;100;g;335;10,4;1,2;69
Zbo¿a i produkty zbo¿owe;Flour wheat wholemeal;M¹ka pszenna pe³noziarnista;100;g;330;14,4;2;58,4
Zbo¿a i produkty zbo¿owe;Binding agents av;Œrodki wi¹¿¹ce av;100;g;335;10;1,2;69,5
Zbo¿a i produkty zbo¿owe;Breakfast cereal porridge Olvarit fijne granen 6+ months;P³atki œniadaniowe Owsianka Olvarit fijne granen 6+ miesiêcy;100;g;367;12,4;2,1;69,6
Zbo¿a i produkty zbo¿owe;Breakfast cereal porridge Brinta;P³atki œniadaniowe owsianka Brinta;100;g;344;11;2,1;65
Zbo¿a i produkty zbo¿owe;Starch, potato;Skrobia ziemniaczana;100;g;320;0;0;80
Chleb;Crispbakes Dutch white;Crispbakes holenderskie bia³e;100;g;408;14,1;4,7;76,1
Chleb;Crackers cream;Krem krakersowy;100;g;448;9,1;14,5;68,8
Chleb;Crispbread av;Chrupkie pieczywo av;100;g;376;11,6;5,6;63,6
Chleb;Wheat bread roll white soft;Bu³ka pszenna bia³a miêkka;100;g;262;9,7;3,6;45,9
Zbo¿a i produkty zbo¿owe;Wheat germ;Zarodek pszenicy;100;g;393;31;9,9;37
Ciastka i ciasteczka;Danish pastry;Ciasto duñskie;100;g;349;5,8;14,1;48,4
Chleb;Wheat currant bread white;Chleb pszenny z porzeczkami bia³y;100;g;273;7,8;2,4;53,3
Ciastka i ciasteczka;Biscuit Liga Baby 6-12 months;Biszkopt Liga Baby 6-12 miesiêcy;100;g;394;6,5;7,6;73,5
Ciastka i ciasteczka;Biscuit Liga 12-36 months;Liga ciasteczek 12-36 miesiêcy;100;g;411;8,5;9,4;71
Chleb;Wheat bread brown;Chleb pszenny br¹zowy;100;g;236;9,8;1,7;42,9
Chleb;Crackers Matzes;Krakersy Matzes;100;g;376;11;1;78,8
Ciastka i ciasteczka;Cake Dutch spiced Ontbijtkoek;Ciasto holenderskie korzenne Ontbijtkoek;100;g;308;3;1,2;69,5
Chleb;Wheat bread white milk based;Chleb pszenny na bazie bia³ego mleka;100;g;257;9,6;2,4;47,9
Chleb;Rye bread wholemeal;Chleb ¿ytni pe³noziarnisty;100;g;193;5,6;1,3;35,6
Chleb;Rye wheat bread brown;Chleb ¿ytni pszenny br¹zowy;100;g;233;8,2;1,5;42,8
Chleb;Wheat raisin bread white;Chleb pszenny z rodzynkami bia³y;100;g;272;7,7;2,7;52,2
Chleb;Wheat bread wholemeal av fine and coarse;Chleb pszenny pe³noziarnisty av drobny i gruby;100;g;234;11,1;2,3;39
Chleb;Wheat bread white water based;Chleb pszenny bia³y na bazie wody;100;g;247;9;1,6;47,8
Chleb;Wheat malt bread brown;Chleb pszenno-s³odowy br¹zowy;100;g;249;9,4;1,9;46,6
Ciastka i ciasteczka;Puff pastry filled w almond paste;Ciasto francuskie wype³nione past¹ migda³ow¹;100;g;391;7;23;38,1
Ciastka i ciasteczka;Apple pie Dutch w shortbread wo butter;Holenderski placek jab³kowy z kruchym ciastem i mas³em;100;g;225;3,4;9;31,6
Ciastka i ciasteczka;Biscuit;Suchar;100;g;437;7,6;11;75,5
Ciastka i ciasteczka;Cake wo butter;Ciasto bez mas³a;100;g;394;5,7;22,4;42,2
Ciastka i ciasteczka;Cake sponge Dutch Eierkoek;Ciasto biszkoptowe holenderskie Eierkoek;100;g;303;6;1,5;66
Ciastka i ciasteczka;Gateau w whipped cream;Tort z bit¹ œmietan¹;100;g;316;4,6;18,9;31,4
Ciastka i ciasteczka;Gateau w butter-cream filling;Tort z kremem maœlanym;100;g;430;3,7;26,6;43,8
Ciastka i ciasteczka;Almond paste filled tarts av;Tarty z nadzieniem z pasty migda³owej;100;g;411;6,4;15,8;59,9
Ciastka i ciasteczka;Biscuit av;Ciastko av;100;g;475;5,7;20,7;65,1
Ciastka i ciasteczka;Coconut macaroons;Makaroniki kokosowe;100;g;455;4;21,2;59
Ciastka i ciasteczka;Biscuit sponge fingers;Biszkoptowe paluszki;100;g;402;7,2;3,5;84,8
Ciastka i ciasteczka;Biscuit spiced Speculaas av;Biszkopt z przyprawami Speculaas av;100;g;469;5;20,3;65,1
Ciastka i ciasteczka;Biscuit Dutch shortbread sprits;Holenderskie kruche ciasteczka z herbatnikami;100;g;489;4,9;29,8;49,6
Ciastka i ciasteczka;Biscuit brown/wholemeal;Biszkopt br¹zowy/pe³noziarnisty;100;g;459;7,8;14,9;70,7
S³one przek¹ski;Biscuit salted;Biszkopt solony;100;g;472;8,1;23;56,7
Zbo¿a i produkty zbo¿owe;Puff pastry wo butter baked;Ciasto francuskie pieczone w maœle;100;g;614;7;47;40
S³one przek¹ski;Snack sausage roll puff pastry;Przek¹ska kie³basa bu³ka ciasto francuskie;100;g;356;7,2;23,4;28,5
S³one przek¹ski;Pretzel sticks;Paluszki precelkowe;100;g;382;11,9;5,3;69,5
S³one przek¹ski;Prawn crackers natural;Krakersy krewetkowe naturalne;100;g;516;3,5;28;62
Mleko i produkty mleczne;Milk raw;Mleko surowe;100;g;71;3,4;4,4;4,4
Mleko i produkty mleczne;Coffee creamer Becel;Œmietanka do kawy Becel;100;g;112;7,1;4,4;11
Mleko i produkty mleczne;Milk chocolate-flavoured full fat;Czekolada mleczna pe³not³usta;100;g;82;3,3;2,8;10,7
Mleko i produkty mleczne;Milk chocolate-flavoured low fat;Czekolada mleczna o obni¿onej zawartoœci t³uszczu;100;g;62;3,3;0,3;11,4
Substytuty miêsa i zamienniki produktów mlecznych;Coffee creamer powder;Proszek do kawy;100;g;560;2,1;35,3;58,4
Mleko i produkty mleczne;Custard chocolate full fat;Czekolada budyniowa pe³not³usta;100;g;88;2,4;2,6;13,4
Mleko i produkty mleczne;Yoghurt full fat;Jogurt pe³not³usty;100;g;56;3,8;2,7;3,4
Mleko i produkty mleczne;Milk whole;Mleko pe³ne;100;g;61;3,3;3,4;4,5
Mleko i produkty mleczne;Coffee creamer full fat;Œmietanka do kawy pe³not³usta;100;g;145;7,5;7,7;11,4
Mleko i produkty mleczne;Milk condensed w sugar;Mleko skondensowane z cukrem;100;g;330;8,1;8,8;54,7
Mleko i produkty mleczne;Custard vanilla full fat;Budyñ waniliowy pe³not³usty;100;g;86;2,3;2,8;12,8
Mleko i produkty mleczne;Yoghurt low fat w fruit;Jogurt o niskiej zawartoœci t³uszczu z owocami;100;g;67;3;0,2;12,4
Mleko i produkty mleczne;Coffee creamer half fat;Œmietanka do kawy pó³t³usta;100;g;110;7;4,1;11,2
Mleko i produkty mleczne;Milk semi-skimmed;Mleko pó³t³uste;100;g;45;3,4;1,4;4,7
Mleko i produkty mleczne;Porridge oatmeal prepared w whole milk unsweetened;Owsianka przygotowana na mleku pe³not³ustym, nies³odzonym;100;g;95;4,3;3,8;10,5
Mleko i produkty mleczne;Buttermilk;Maœlanka;100;g;30;3;0,2;3,6
Mleko i produkty mleczne;Porridge buttermilk w wheat flour white;Owsianka maœlanka z m¹k¹ pszenn¹ bia³¹;100;g;52;3,7;0,5;7,8
Zbo¿a i produkty zbo¿owe;Topping dessert powder w sugar Klop-Klop;Posypka deserowa w proszku cukrem Klop-Klop;100;g;535;4,4;29,3;63,4
Mleko i produkty mleczne;Coffee creamer low fat;Œmietanka do kawy o niskiej zawartoœci t³uszczu;100;g;57;9,9;0;4,3
Mleko i produkty mleczne;Coffee creamer;Œmietanka do kawy;100;g;210;3,3;20,2;3,8
Mleko i produkty mleczne;Milk skimmed;Mleko odt³uszczone;100;g;35;3,7;0,1;4,9
Mleko i produkty mleczne;Milk skimmed dried;Mleko odt³uszczone suszone;100;g;349;35,4;0,6;50,5
Mleko i produkty mleczne;Milk whole dried;Mleko ca³e suszone;100;g;478;23,9;26;37
Mleko i produkty mleczne;Milk human;Mleko ludzkie;100;g;66;1,1;3,5;7,4
Mleko i produkty mleczne;Porridge rice;Owsianka ry¿owa;100;g;86;3,1;2,9;12
Mleko i produkty mleczne;Cream whipping unprepared;Ubijanie œmietany bez przygotowania;100;g;339;2,3;35,3;3,1
Mleko i produkty mleczne;Yoghurt Bulgarian whole milk;Jogurt bu³garski z pe³nego mleka;100;g;77;4,5;4,3;4,5
Mleko i produkty mleczne;Yoghurt low fat;Jogurt o niskiej zawartoœci t³uszczu;100;g;37;4,1;0,2;4
Mleko i produkty mleczne;Ice cream dairy av;Lody mleczne av;100;g;216;2,9;11,3;25,3
Ser;Cheese Swiss dried;Ser szwajcarski suszony;100;g;228;55;0,7;0
Mleko i produkty mleczne;Quark low fat;Twaróg o niskiej zawartoœci t³uszczu;100;g;51;8,4;0;3,8
Mleko i produkty mleczne;Quark half fat;Twaróg pó³t³usty;100;g;77;7,5;3,2;4
Mleko i produkty mleczne;Quark full fat;Twaróg pe³not³usty;100;g;118;7,5;8;3,6
T³uszcze i oleje;Oil peanut;Olej arachidowy;100;g;900;0;100;0
T³uszcze i oleje;Butter unsalted;Mas³o niesolone;100;g;737;0,7;81,2;1,1
T³uszcze i oleje;Oil soya;Olej sojowy;100;g;894;0,3;99,2;0
T³uszcze i oleje;Lard;Smalec;100;g;900;0;100;0
T³uszcze i oleje;Beef fat;T³uszcz wo³owy;100;g;891;0;99;0
T³uszcze i oleje;Oil sunflower seed;Olej s³onecznikowy;100;g;897;0,3;99,5;0
Wêdliny;Corned beef;Konserwa z wo³owiny;100;g;208;24,3;11,9;0,9
Miêso i drób;Pheasant whole raw;Ba¿ant ca³y surowy;100;g;223;31;11;0
S³one przek¹ski;Sausage Dutch Frikandel deep-fried in liquid fat;Kie³basa holenderska Frikandel sma¿ona na g³êbokim t³uszczu;100;g;251;13,8;18,4;6,7
Miêso i drób;Sausage smoked cooked av;Kie³basa wêdzona gotowana av;100;g;304;14,1;26,3;2,6
